playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
wakefti01,1,1,630,1,13,2156,200,227,0,0,54,5,5,False
walkela01,5,14,1988,383,2160,NULL,NULL,3976,7,23,NULL,NULL,49,True
weisswa01,1,1,1495,25,1207,NULL,NULL,2056,1,28,NULL,NULL,64,False
wellsda01,3,3,660,0,23,2201,239,149,0,2,83,10,4,False
wettejo01,3,3,618,1,7,804,48,27,0,0,22,0,2,False
whitero02,1,0,1474,198,1519,NULL,NULL,2567,2,6,NULL,NULL,4,False
willibe02,5,8,2076,287,2336,NULL,NULL,4710,22,128,NULL,NULL,275,False
willima04,5,12,1866,378,1878,NULL,NULL,1525,6,47,NULL,NULL,36,False
willimi02,1,0,619,1,3,660,45,14,0,0,8,2,0,False
varitja01,3,3,1546,193,1307,NULL,NULL,10166,11,54,NULL,NULL,459,False
wagnebi02,6,1,854,0,2,1196,47,33,0,0,13,1,0,False
walketo04,0,0,1288,107,1316,NULL,NULL,2239,5,15,NULL,NULL,23,False
williwo02,1,0,443,4,105,1480,132,159,0,2,31,3,5,False
utleych01,6,6,1937,259,1885,NULL,NULL,3728,10,47,NULL,NULL,117,False
valvejo01,3,4,626,0,1,692,27,34,0,0,20,0,1,False
victosh01,2,6,1299,108,1274,NULL,NULL,2613,7,58,NULL,NULL,125,False
weaveje02,3,0,331,0,4,1621,150,103,0,0,28,2,1,False
werthja01,1,0,1583,229,1465,NULL,NULL,2869,15,57,NULL,NULL,125,False
wittbo01,0,0,438,1,9,1955,142,148,0,0,5,0,0,False
younger01,1,2,1730,79,1731,NULL,NULL,3025,2,9,NULL,NULL,8,False
zeileto01,0,0,2158,253,2004,1,0,5257,4,33,NULL,NULL,115,False
womacto01,1,0,1303,36,1353,NULL,NULL,2044,0,33,NULL,NULL,42,False
woodke02,2,1,449,7,59,1582,86,73,1,3,45,2,4,False
youngmi02,7,3,1970,185,2375,NULL,NULL,3090,3,36,NULL,NULL,86,False
zambrca01,3,3,384,24,165,1637,132,168,0,1,27,0,0,False
zitoba01,3,5,434,0,35,1885,165,86,0,2,46,6,1,False
wrighda03,7,6,1585,242,1777,NULL,NULL,1088,2,18,NULL,NULL,29,False
youklke01,3,2,1061,150,1053,NULL,NULL,4923,6,34,NULL,NULL,164,False
allisdo01,0,0,316,2,382,0,0,1328,NULL,NULL,NULL,NULL,NULL,False
barnero01,0,0,499,6,860,0,0,1305,NULL,NULL,NULL,NULL,NULL,False
battijo01,0,0,480,3,439,1,0,908,NULL,NULL,NULL,NULL,NULL,False
becklja01,0,0,2392,87,2938,2,0,23767,NULL,NULL,NULL,NULL,NULL,True
bondto01,0,1,488,0,471,972,234,336,NULL,NULL,NULL,NULL,NULL,False
bentola01,0,2,462,2,122,670,127,93,NULL,NULL,NULL,NULL,NULL,False
barbest01,2,0,466,5,65,1309,121,106,NULL,NULL,NULL,NULL,NULL,False
akerja01,0,1,496,0,7,404,47,65,NULL,NULL,NULL,NULL,NULL,False
abbotji01,0,2,263,0,2,888,87,72,NULL,NULL,NULL,NULL,NULL,False
